,image,genre
0,"[[[7 5 6]
  [7 5 6]
  [7 5 6]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 [[7 5 6]
  [7 5 6]
  [7 5 6]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 [[7 5 6]
  [7 5 6]
  [7 5 6]
  ...
  [5 5 5]
  [5 5 5]
  [5 5 5]]

 ...

 [[5 5 5]
  [5 5 5]
  [5 5 5]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]

 [[5 5 5]
  [5 5 5]
  [5 5 5]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]

 [[5 5 5]
  [5 5 5]
  [5 5 5]
  ...
  [4 4 4]
  [4 4 4]
  [4 4 4]]]",action
1,"[[[167 150 143]
  [167 150 143]
  [167 150 143]
  ...
  [ 35  54  69]
  [ 37  56  71]
  [ 39  58  73]]

 [[167 150 143]
  [167 150 143]
  [168 151 144]
  ...
  [ 34  53  68]
  [ 36  55  70]
  [ 38  57  72]]

 [[168 151 143]
  [168 151 143]
  [168 151 143]
  ...
  [ 33  52  67]
  [ 35  54  69]
  [ 38  57  72]]

 ...

 [[  1   0   5]
  [  1   0   5]
  [  1   0   5]
  ...
  [ 15  31  47]
  [ 15  28  45]
  [ 11  27  43]]

 [[  0   1   3]
  [  0   1   3]
  [  0   1   3]
  ...
  [ 12  29  45]
  [ 11  27  43]
  [  8  25  41]]

 [[  0   1   3]
  [  0   1   3]
  [  0   1   3]
  ...
  [ 12  29  45]
  [ 10  27  43]
  [  8  25  41]]]",action
2,"[[[112 137 144]
  [109 134 141]
  [106 131 138]
  ...
  [232 206 157]
  [232 206 157]
  [233 207 158]]

 [[101 126 133]
  [ 98 123 130]
  [ 95 120 127]
  ...
  [232 206 157]
  [232 206 157]
  [233 207 158]]

 [[ 96 121 128]
  [ 93 118 125]
  [ 90 115 122]
  ...
  [232 206 157]
  [232 206 157]
  [233 207 158]]

 ...

 [[ 14  14  14]
  [  5   5   5]
  [  0   0   0]
  ...
  [ 23  17  17]
  [ 23  17  17]
  [ 24  18  18]]

 [[ 20  20  20]
  [  2   2   2]
  [  0   0   0]
  ...
  [ 25  19  19]
  [ 25  19  19]
  [ 25  19  19]]

 [[ 20  20  20]
  [  2   2   2]
  [  0   0   0]
  ...
  [ 25  19  19]
  [ 25  19  19]
  [ 25  19  19]]]",action
3,"[[[14  5  8]
  [15  6  7]
  [18  8  9]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[11  5  9]
  [14  5  8]
  [16  7  8]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[10  5 11]
  [11  6 10]
  [12  6  6]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[ 3  3  5]
  [ 3  3  5]
  [ 3  3  5]
  ...
  [ 2  2  4]
  [ 2  2  4]
  [ 2  2  4]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 1  2  4]
  [ 2  2  2]
  [ 2  2  2]]

 [[ 2  2  2]
  [ 2  2  2]
  [ 2  2  2]
  ...
  [ 1  2  4]
  [ 2  2  2]
  [ 2  2  2]]]",action
4,"[[[38  7 64]
  [38  7 64]
  [38  7 64]
  ...
  [36  7 63]
  [36  7 63]
  [36  7 63]]

 [[38  7 64]
  [38  7 64]
  [38  7 64]
  ...
  [36  7 63]
  [36  7 63]
  [36  7 63]]

 [[38  7 64]
  [38  7 64]
  [38  7 64]
  ...
  [36  7 63]
  [36  7 63]
  [36  7 63]]

 ...

 [[14  8 12]
  [14  8 12]
  [14  8 12]
  ...
  [14  8 12]
  [14  8 12]
  [14  8 12]]

 [[14  8 12]
  [14  8 12]
  [14  8 12]
  ...
  [14  8 12]
  [14  8 12]
  [14  8 12]]

 [[14  8 12]
  [14  8 12]
  [14  8 12]
  ...
  [14  8 12]
  [14  8 12]
  [14  8 12]]]",action
5,"[[[ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]
  ...
  [128  37  19]
  [128  37  19]
  [127  36  18]]

 [[ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]
  ...
  [127  36  18]
  [127  36  18]
  [127  36  18]]

 [[ 14  13  11]
  [ 14  13  11]
  [ 14  13  11]
  ...
  [126  35  16]
  [126  35  16]
  [126  35  16]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 27  16  12]
  [ 27  16  12]
  [ 27  16  12]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 27  16  12]
  [ 29  15  12]
  [ 29  15  12]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [ 27  16  12]
  [ 29  15  12]
  [ 29  15  12]]]",action
6,"[[[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 [[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 [[254 255 255]
  [254 255 255]
  [254 255 255]
  ...
  [254 255 255]
  [254 255 255]
  [254 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
7,"[[[176 154 117]
  [175 153 116]
  [173 151 112]
  ...
  [ 20  35  42]
  [ 21  34  40]
  [ 21  34  40]]

 [[176 154 117]
  [175 153 116]
  [173 151 114]
  ...
  [ 20  35  42]
  [ 21  34  40]
  [ 21  34  40]]

 [[177 154 120]
  [175 153 116]
  [174 152 115]
  ...
  [ 20  35  42]
  [ 20  35  42]
  [ 20  35  42]]

 ...

 [[138 183 188]
  [126 171 176]
  [129 174 179]
  ...
  [179 207 218]
  [179 207 218]
  [179 207 218]]

 [[141 186 191]
  [135 180 185]
  [127 172 177]
  ...
  [178 206 217]
  [178 206 217]
  [178 206 217]]

 [[135 180 185]
  [131 176 181]
  [127 172 177]
  ...
  [178 206 217]
  [178 206 217]
  [178 206 217]]]",action
8,"[[[ 2  2 12]
  [ 3  3 13]
  [ 5  5 15]
  ...
  [ 0  1  6]
  [ 0  1  6]
  [ 0  1  6]]

 [[ 2  2 12]
  [ 3  3 13]
  [ 4  4 14]
  ...
  [ 0  1  6]
  [ 0  1  6]
  [ 0  1  6]]

 [[ 2  2 12]
  [ 3  3 13]
  [ 4  4 14]
  ...
  [ 0  1  6]
  [ 0  1  6]
  [ 0  1  6]]

 ...

 [[ 1  1  3]
  [ 1  1  3]
  [ 1  1  3]
  ...
  [10  9 15]
  [ 8  7 13]
  [ 6  5 11]]

 [[ 1  1  3]
  [ 1  1  3]
  [ 1  1  3]
  ...
  [ 9  8 14]
  [ 4  3  9]
  [ 1  0  6]]

 [[ 1  1  3]
  [ 1  1  3]
  [ 1  1  3]
  ...
  [ 9  8 14]
  [ 4  3  9]
  [ 1  0  6]]]",action
9,"[[[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[254 254 254]
  [254 254 254]
  [254 254 254]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]",action
10,"[[[ 40 157 174]
  [ 30 147 164]
  [ 31 146 164]
  ...
  [102  76  15]
  [103  78  14]
  [104  79  15]]

 [[ 30 147 164]
  [ 26 143 160]
  [ 33 148 166]
  ...
  [ 99  73  12]
  [105  80  16]
  [110  85  21]]

 [[ 27 142 160]
  [ 24 139 157]
  [ 32 147 165]
  ...
  [ 97  71  10]
  [105  80  16]
  [112  87  23]]

 ...

 [[ 25  22  13]
  [ 24  24  14]
  [ 28  25  16]
  ...
  [ 16  61  66]
  [ 21  69  73]
  [ 17  65  69]]

 [[ 23  18  14]
  [ 25  22  17]
  [ 28  23  17]
  ...
  [  3  56  60]
  [  8  63  66]
  [ 15  73  75]]

 [[ 23  18  15]
  [ 26  21  18]
  [ 28  23  19]
  ...
  [ 14  72  74]
  [ 19  78  82]
  [ 27  88  91]]]",action
